date,account,entry_type,region,value
2026-06-11,Thombay,shiny,unidentified,2.0
2026-06-11,Thombay,lucky,kanto,54.0
2026-06-11,Thombay,lucky,johto,13.0
2026-06-11,Thombay,lucky,hoenn,19.0
2026-06-11,Thombay,lucky,sinnoh,15.0
2026-06-11,Thombay,lucky,unova,25.0
2026-06-11,Thombay,lucky,kalos,9.0
2026-06-11,Thombay,lucky,alola,11.0
2026-06-11,Thombay,lucky,galar,13.0
2026-06-11,Thombay,lucky,paldea,10.0
2026-06-11,Thombay,xxl,kanto,45.0
2026-06-11,Thombay,xxl,johto,17.0
2026-06-11,Thombay,xxl,hoenn,31.0
2026-06-11,Thombay,xxl,sinnoh,18.0
2026-06-11,Thombay,xxl,unova,28.0
2026-06-11,Thombay,xxl,kalos,16.0
2026-06-11,Thombay,xxl,alola,11.0
2026-06-11,Thombay,xxl,galar,9.0
2026-06-11,Thombay,xxl,paldea,8.0
2026-06-11,Thombay,xxl,unidentified,1.0
2026-06-11,Thombay,xxs,kanto,106.0
2026-06-11,Thombay,xxs,johto,39.0
2026-06-11,Thombay,xxs,hoenn,54.0
2026-06-11,Thombay,xxs,sinnoh,38.0
2026-06-11,Thombay,xxs,unova,39.0
2026-06-11,Thombay,xxs,kalos,16.0
2026-06-11,Thombay,xxs,alola,4.0
2026-06-11,Thombay,xxs,galar,11.0
2026-06-11,Thombay,xxs,paldea,8.0
2026-06-11,Thombay,xxs,unidentified,1.0
2026-06-11,Thombay,gmax,kanto,9.0
2026-06-11,Thombay,gmax,unova,1.0
2026-06-11,Thombay,gmax,galar,3.0
2026-06-11,Thombay,mega,kanto,15.0
2026-06-11,Thombay,mega,johto,6.0
2026-06-11,Thombay,mega,hoenn,22.0
2026-06-11,Thombay,mega,sinnoh,5.0
2026-06-11,Thombay,mega,kalos,2.0
2026-06-11,Thombay,mega,galar,1.0
2026-06-11,Thombay,hundo,kanto,27.0
2026-06-11,Thombay,hundo,johto,9.0
2026-06-11,Thombay,hundo,hoenn,14.0
2026-06-11,Thombay,hundo,sinnoh,11.0
2026-06-11,Thombay,hundo,unova,11.0
2026-06-11,Thombay,hundo,kalos,14.0
2026-06-11,Thombay,hundo,alola,5.0
2026-06-11,Thombay,hundo,galar,7.0
2026-06-11,Thombay,hundo,hisui,0.0
2026-06-11,Thombay,hundo,paldea,3.0
2026-06-11,Thombay,hundo,unidentified,0.0
2026-06-11,Cerius,pokemon,kanto,151.0
2026-06-11,Cerius,pokemon,johto,99.0
